graph,component,component
needless-complexity-0.yml,cs:~containers/kubernetes-master,cs:~containers/easyrsa
needless-complexity-0.yml,cs:~containers/kubernetes-master,cs:~containers/etcd
needless-complexity-0.yml,cs:~containers/flannel,cs:~containers/kubernetes-master
needless-complexity-0.yml,cs:~containers/kubernetes-worker,cs:~containers/easyrsa
needless-complexity-0.yml,cs:~containers/flannel,cs:~containers/kubernetes-worker
needless-complexity-0.yml,cs:~containers/kubernetes-worker,cs:~containers/kubeapi-load-balancer
needless-complexity-0.yml,cs:~containers/flannel,cs:~containers/etcd
needless-complexity-0.yml,cs:~containers/kubeapi-load-balancer,cs:~containers/easyrsa
needless-complexity-0.yml,cs:trusty/kibana,cs:trusty/elasticsearch
needless-complexity-0.yml,cs:trusty/apache-hadoop-namenode,cs:trusty/apache-hadoop-slave
needless-complexity-0.yml,cs:trusty/apache-hadoop-resourcemanager,cs:trusty/apache-hadoop-slave
needless-complexity-0.yml,cs:trusty/apache-hadoop-resourcemanager,cs:trusty/apache-hadoop-namenode
needless-complexity-0.yml,cs:trusty/apache-hadoop-plugin,cs:trusty/apache-hadoop-namenode
needless-complexity-0.yml,cs:trusty/apache-hadoop-plugin,cs:trusty/apache-hadoop-resourcemanager
needless-complexity-0.yml,cs:trusty/apache-hadoop-plugin,cs:trusty/apache-flume-hdfs
needless-complexity-0.yml,cs:trusty/apache-flume-syslog,cs:trusty/apache-flume-hdfs
needless-complexity-0.yml,cs:trusty/rsyslog-forwarder-ha,cs:trusty/apache-hadoop-namenode
needless-complexity-0.yml,cs:trusty/apache-hadoop-plugin,cs:trusty/apache-spark
needless-complexity-0.yml,cs:trusty/apache-zeppelin,cs:trusty/apache-spark
needless-complexity-0.yml,cs:trusty/rsyslog-forwarder-ha,cs:trusty/elasticsearch
needless-complexity-0.yml,cs:xenial/landscape-client,cs:~containers/kubeapi-load-balancer
needless-complexity-0.yml,cs:xenial/landscape-client,cs:~containers/kubernetes-worker
needless-complexity-0.yml,cs:xenial/landscape-client,cs:~containers/kubernetes-master
needless-complexity-0.yml,cs:xenial/landscape-client,cs:~containers/etcd
needless-complexity-0.yml,cs:nova-compute,cs:rabbitmq-server
needless-complexity-0.yml,cs:neutron-gateway,cs:rabbitmq-server
needless-complexity-0.yml,cs:keystone,cs:percona-cluster
needless-complexity-0.yml,cs:nova-cloud-controller,cs:keystone
needless-complexity-0.yml,cs:glance,cs:keystone
needless-complexity-0.yml,cs:neutron-api,cs:keystone
needless-complexity-0.yml,cs:neutron-openvswitch,cs:neutron-api
needless-complexity-0.yml,cs:neutron-api,cs:percona-cluster
needless-complexity-0.yml,cs:neutron-api,cs:rabbitmq-server
needless-complexity-0.yml,cs:neutron-gateway,cs:neutron-api
needless-complexity-0.yml,cs:glance,cs:percona-cluster
needless-complexity-0.yml,cs:glance,cs:rabbitmq-server
needless-complexity-0.yml,cs:nova-cloud-controller,cs:glance
needless-complexity-0.yml,cs:nova-compute,cs:glance
needless-complexity-0.yml,cs:nova-cloud-controller,cs:nova-compute
needless-complexity-0.yml,cs:nova-cloud-controller,cs:rabbitmq-server
needless-complexity-0.yml,cs:nova-cloud-controller,cs:neutron-gateway
needless-complexity-0.yml,cs:nova-compute,cs:neutron-openvswitch
needless-complexity-0.yml,cs:neutron-openvswitch,cs:rabbitmq-server
needless-complexity-0.yml,cs:openstack-dashboard,cs:keystone
needless-complexity-0.yml,cs:nova-cloud-controller,cs:percona-cluster
needless-complexity-0.yml,cs:nova-cloud-controller,cs:neutron-api
needless-complexity-0.yml,cs:cinder,cs:glance
needless-complexity-0.yml,cs:cinder,cs:rabbitmq-server
needless-complexity-0.yml,cs:cinder,cs:keystone
needless-complexity-0.yml,cs:nova-cloud-controller,cs:cinder
needless-complexity-0.yml,cs:cinder,cs:cinder-ceph
needless-complexity-0.yml,cs:nova-compute,cs:ceph-mon
needless-complexity-0.yml,cs:cinder,cs:percona-cluster
needless-complexity-0.yml,cs:cinder-ceph,cs:ceph-mon
needless-complexity-0.yml,cs:glance,cs:ceph-mon
needless-complexity-0.yml,cs:ceph-osd,cs:ceph-mon
needless-complexity-0.yml,cs:xenial/ntp,cs:nova-compute
needless-complexity-0.yml,cs:xenial/ntp,cs:neutron-gateway
needless-complexity-0.yml,cs:ceph-radosgw,cs:ceph-mon
needless-complexity-0.yml,cs:ceph-radosgw,cs:keystone
needless-complexity-0.yml,cs:ceilometer,cs:rabbitmq-server
needless-complexity-0.yml,cs:ceilometer-agent,cs:ceilometer
needless-complexity-0.yml,cs:ceilometer,cs:keystone
needless-complexity-0.yml,cs:nova-compute,cs:ceilometer-agent
needless-complexity-0.yml,cs:ceilometer,cs:trusty/mongodb
needless-complexity-0.yml,cs:aodh,cs:percona-cluster
needless-complexity-0.yml,cs:aodh,cs:keystone
needless-complexity-0.yml,cs:aodh,cs:rabbitmq-server
needless-complexity-0.yml,cs:~containers/kubernetes-master,cs:ceph-mon
needless-complexity-0.yml,cs:xenial/ntp,cs:~containers/etcd
needless-complexity-0.yml,cs:xenial/ntp,cs:~containers/kubeapi-load-balancer
needless-complexity-0.yml,cs:xenial/ntp,cs:~containers/kubernetes-worker
needless-complexity-0.yml,cs:xenial/ntp,cs:~containers/kubernetes-master
needless-complexity-0.yml,cs:topbeat,cs:percona-cluster
needless-complexity-0.yml,cs:topbeat,cs:nova-compute
needless-complexity-0.yml,cs:topbeat,cs:nova-cloud-controller
needless-complexity-0.yml,cs:topbeat,cs:neutron-api
needless-complexity-0.yml,cs:topbeat,cs:cinder
needless-complexity-0.yml,cs:topbeat,cs:aodh
needless-complexity-0.yml,cs:topbeat,cs:rabbitmq-server
needless-complexity-0.yml,cs:topbeat,cs:ceilometer
needless-complexity-0.yml,cs:topbeat,cs:keystone
needless-complexity-0.yml,cs:topbeat,cs:glance
needless-complexity-0.yml,cs:filebeat,cs:percona-cluster
needless-complexity-0.yml,cs:filebeat,cs:nova-compute
needless-complexity-0.yml,cs:filebeat,cs:nova-cloud-controller
needless-complexity-0.yml,cs:filebeat,cs:neutron-api
needless-complexity-0.yml,cs:filebeat,cs:rabbitmq-server
needless-complexity-0.yml,cs:filebeat,cs:aodh
needless-complexity-0.yml,cs:filebeat,cs:cinder
needless-complexity-0.yml,cs:filebeat,cs:ceilometer
needless-complexity-0.yml,cs:filebeat,cs:keystone
needless-complexity-0.yml,cs:filebeat,cs:glance
needless-complexity-0.yml,cs:filebeat,cs:neutron-gateway
needless-complexity-0.yml,cs:filebeat,cs:openstack-dashboard
needless-complexity-0.yml,cs:topbeat,cs:openstack-dashboard
needless-complexity-0.yml,cs:topbeat,cs:neutron-gateway
needless-complexity-0.yml,cs:topbeat,cs:trusty/apache-hadoop-namenode
needless-complexity-0.yml,cs:topbeat,cs:trusty/apache-hadoop-slave
needless-complexity-0.yml,cs:topbeat,cs:trusty/apache-hadoop-resourcemanager
needless-complexity-0.yml,cs:topbeat,cs:trusty/mongodb
needless-complexity-0.yml,cs:xenial/landscape-client,cs:neutron-gateway
needless-complexity-0.yml,cs:xenial/landscape-client,cs:glance
needless-complexity-0.yml,cs:xenial/landscape-client,cs:keystone
needless-complexity-0.yml,cs:xenial/landscape-client,cs:ceilometer
needless-complexity-0.yml,cs:xenial/landscape-client,cs:cinder
needless-complexity-0.yml,cs:xenial/landscape-client,cs:aodh
needless-complexity-0.yml,cs:xenial/landscape-client,cs:percona-cluster
needless-complexity-0.yml,cs:xenial/landscape-client,cs:nova-compute
needless-complexity-0.yml,cs:xenial/landscape-client,cs:nova-cloud-controller
needless-complexity-0.yml,cs:xenial/landscape-client,cs:neutron-api
needless-complexity-0.yml,cs:xenial/landscape-client,cs:rabbitmq-server
needless-complexity-0.yml,cs:xenial/landscape-client,cs:openstack-dashboard
elasticsearch-non-uniform-1.yml,cs:~omnivector/elasticsearch/es-master,cs:~omnivector/elasticsearch/es-ingest
elasticsearch-non-uniform-1.yml,cs:~omnivector/elasticsearch/es-master,cs:~omnivector/elasticsearch/es-tribe
elasticsearch-non-uniform-1.yml,cs:~omnivector/elasticsearch/es-master,cs:~omnivector/elasticsearch/es-data
java-devenv-4.yml,cs:xenial/openjdk,cs:xenial/ubuntu-devenv
landscape-dense-maas-10.yml,cs:xenial/landscape-server,cs:xenial/rabbitmq-server
landscape-dense-maas-10.yml,cs:xenial/landscape-server,cs:xenial/haproxy
landscape-dense-maas-10.yml,cs:xenial/landscape-server,cs:xenial/postgresql
jenkins-demo-1.yml,cs:precise/jenkins-slave,cs:precise/jenkins
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova,cs:~openstack-charmers-next/xenial/rabbitmq
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/neutron,cs:~openstack-charmers-next/xenial/rabbitmq
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers,cs:~openstack-charmers-next/xenial/percona
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova-cloud,cs:~openstack-charmers
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers/glance,cs:~openstack-charmers/keystone
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/neutron,cs:~openstack-charmers
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/neutron/neutron-openvswitch,cs:~openstack-charmers-next/xenial/neutron/neutron-api
