graph,component,component,distance
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:precise/logstash-indexer,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/tomcat,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:precise/rails,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/haproxy,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/memcached,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/python-django,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:precise/node-app,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/rabbitmq-server,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/mysql,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/zend-server,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/elasticsearch,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/terracotta,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/postgresql,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:precise/redis-master,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/hdp-hive,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/hdp-hadoop,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:~vpalos/trusty/kafka,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/hdp-storm,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/hdp-zookeeper,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/nagios,cs:trusty/logstash-agent,3
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:precise/openvpn-as,0
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/nrpe,1
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/logstash-agent,1
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/landscape-client,1
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/ganglia-node,1
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/ganglia,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/kibana,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/elasticsearch,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:precise/logstash-indexer,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:precise/mongodb,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/rabbitmq-server,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/mysql,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/memcached,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/terracotta,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/postgresql,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:precise/redis-master,2
